player_id,player_name,birth_date,nationality,primary_broad_position,primary_general_position,secondary_broad_position,secondary_general_position,season_name,height_ft,height_in,weight_lb,competition,height_ft_outlier,height_in_outlier,weight_lb_outlier
7vQ7JODqD1,John Thorrington,1979-10-17,USA,MF,CM,,,2013,5.0,8.0,152.0,mls,False,False,False
7vQ7r78eqD,Jeremiah Gutjahr,1997-08-10,USA,DF,FB,,,2019,5.0,10.0,161.0,mls,False,False,False
7vQ7rJ3eqD,Thiago Santos,1989-09-05,Brazil,MF,DM,,,2020,5.0,11.0,172.0,mls,False,False,False
7vQ7rKGYqD,Andrew Thomas,1998-09-01,USA,GK,GK,,,2024,6.0,2.0,,mls,False,False,False
7vQ7rmKYqD,Abraham Romero,1998-02-18,Mexico,GK,GK,,,2024,6.0,3.0,179.0,mls,False,False,False
7vQ7rvleqD,Matheus Silva,1996-12-08,Brazil,MF,CM,,,2016,6.0,2.0,196.0,mls,False,False,False
7vQ7rWkEqD,Timo Pitter,1992-09-01,Germany,MF,AM,,,2016,5.0,8.0,161.0,mls,False,False,False
7vQ7X1OMD1,Agustín Pelletieri,1982-05-17,Argentina,MF,CM,,DM,2014,5.0,8.0,161.0,mls,False,False,False
7vQ7xgKOMD,Sergio Oregel,2005-05-16,USA,MF,DM,,,2022,5.0,9.0,143.0,mls,False,False,False
7vQ7xGkYMD,Oscar Verhoeven,2006-05-31,USA,DF,FB,,,2024,,,,mls,False,False,False
7vQ7xpBzMD,Taha Habroune,2006-02-05,USA,MF,AM,,,2024,,,,mls,False,False,False
7vQ7xWmYMD,Édier Ocampo,2003-10-03,Colombia,DF,FB,,,2024,5.0,8.0,146.0,mls,False,False,False
7VqG00lAQv,Benjamin Redzic,2002-09-26,USA,MF,DM,,,2022,5.0,11.0,154.0,mls,False,False,False
7VqG00yjQv,Adam Armour,2002-09-27,USA,MF,W,,,2022,5.0,9.0,146.0,mls,False,False,False
7VqG044WQv,Mateo Bajamich,1999-08-03,Argentina,FW,ST,,,2021,,,,mls,False,False,False
7VqG080xQv,Nicksoen Gomis,2002-03-15,France,DF,CB,,,2024,,,,mls,False,False,False
7VqG0VJWQv,Jacob Akanyirige,2001-12-30,USA,DF,CB,,,2020,5.0,11.0,159.0,mls,False,False,False
7VqG0xmYQv,Cole Mrowka,2006-04-06,USA,MF,AM,,,2024,,,,mls,False,False,False
7VqG3Kk6qv,Belal Halbouni,1999-12-29,Syria,DF,CB,,,2024,6.0,2.0,187.0,mls,False,False,False
7VqG3nxqvW,Pablo Mastroeni,1976-08-29,USA,MF,CM,,DM,2013,5.0,10.0,172.0,mls,False,False,False
7VqG3oYqvW,Florent Sinama-Pongolle,1984-10-20,France,FW,ST,MF,W,2014,5.0,9.0,154.0,mls,False,False,False
7VqG3Vmjqv,Patrick Yazbek,2002-04-05,Australia,MF,CM,,,2024,6.0,0.0,172.0,mls,False,False,False
7VqGDgAQvW,David Junior Hoilett,1990-06-05,Canada,FW,ST,,,2023,5.0,8.0,154.0,mls,False,False,False
7VqGeBYMvW,Peterson Joseph,1990-04-24,Haiti,MF,CM,,,2013,5.0,8.0,132.0,mls,False,False,False
7VqGG6dqvW,Mike Chabala,1984-05-24,USA,DF,FB,,,2013,6.0,0.0,176.0,mls,False,False,False
7VqGgNjqvW,Milos Kocic,1985-06-04,Serbia,GK,GK,,,2013,6.0,4.0,201.0,mls,False,False,False
7VqGJAXx5v,Eric Dick,1994-10-03,USA,GK,GK,,,2019,6.0,5.0,205.0,mls,False,False,False
7VqGjbre5v,Bruno Wilson,1996-12-27,Portugal,DF,CB,,,2024,6.0,4.0,172.0,mls,False,False,False
7VqGjKre5v,Nico Benalcazar,2001-06-06,USA,MF,CM,,,2023,5.0,11.0,154.0,mls,False,False,False
7VqGLa36Qv,Kimani Stewart-Baynes,,Canada,MF,W,,,2024,5.0,9.0,,mls,False,False,False
7VqGmAvAMv,Christian Mafla,1993-01-15,Colombia,DF,FB,,,2021,5.0,9.0,154.0,mls,False,False,False
7VqGmePWMv,Michael Bustamante,1989-09-21,USA,MF,CM,,,2013,5.0,9.0,161.0,mls,False,False,False
7VqGmGZzMv,Eric Bird,1993-04-08,USA,MF,DM,,,2018,5.0,11.0,174.0,mls,False,False,False
7VqGmlO3Mv,Matthew Jones,1986-11-05,England,GK,GK,,,2016,6.0,3.0,183.0,mls,False,False,False
7VqGmmzzMv,Luis Muriel,1991-04-16,Colombia,FW,ST,,,2024,5.0,10.0,174.0,mls,False,False,False
7VqGmWK6Mv,Andrés Escobar,1991-05-04,Colombia,MF,W,,,2014,5.0,6.0,146.0,mls,False,False,False
7VqGnBd5vW,Borek Dockal,1988-09-30,Czech Republic,MF,AM,,,2018,6.0,0.0,159.0,mls,False,False,False
9vQ22Ap9QK,George Acosta,2000-01-19,USA,MF,CM,,,2022,5.0,7.0,130.0,mls,False,False,False
9vQ22omrQK,Samuel Tetteh,1996-07-28,Ghana,FW,ST,MF,AM,2020,5.0,11.0,150.0,mls,False,False,False
9vQ22PPmQK,José Leitón,1993-08-06,Costa Rica,MF,W,,,2017,5.0,9.0,159.0,mls,False,False,False
9vQ22vLrQK,Brandon Austin,1999-01-07,England,GK,GK,,,2021,6.0,2.0,181.0,mls,False,False,False
9vQ248BL5K,Idan Toklomati,2004-08-09,Israel,MF,W,,,2024,6.0,0.0,,mls,False,False,False
9vQ24BKm5K,Giuseppe Bovalina,2004-11-11,Australia,DF,FB,,,2024,,,,mls,False,False,False
9vQ24Do5K6,Andreas Görlitz,1982-01-31,Germany,DF,FB,,,2014,5.0,11.0,172.0,mls,False,False,False
9vQ24Gkx5K,Agustín Ojeda,2004-06-19,Argentina,MF,W,,,2024,,,,mls,False,False,False
9vQ2B4LQK6,Adailton,1983-04-16,Brazil,DF,CB,,,2015,6.0,3.0,181.0,mls,False,False,False
9vQ2d66e5K,Stian Gregersen,1995-05-17,Norway,DF,CB,,,2024,6.0,3.0,183.0,mls,False,False,False
