player_id,team_id,season_name,general_position,minutes_played,shots,shots_on_target,goals,xgoals,xplace,goals_minus_xgoals,key_passes,primary_assists,xassists,primary_assists_minus_xassists,xgoals_plus_xassists,points_added,xpoints_added,season_name_outlier,minutes_played_outlier,shots_outlier,shots_on_target_outlier,goals_outlier,xgoals_outlier,xplace_outlier,goals_minus_xgoals_outlier,key_passes_outlier,primary_assists_outlier,xassists_outlier,primary_assists_minus_xassists_outlier,xgoals_plus_xassists_outlier,points_added_outlier,xpoints_added_outlier
gjMN69KMKp,EKXMeX3Q64,2019,ST,2658,87,30,11,11.4347,-0.7862,-0.43470000000000003,76,7,6.2345,0.7655000000000001,17.6692,6.1097,6.9719,False,False,True,False,False,True,False,False,True,False,False,False,True,True,True
gjMN6r64MK,wvq9B9wQWn,2023,CB,1180,6,2,0,1.0559,-0.0671,-1.0559,4,1,0.6141,0.3859,1.6701000000000001,0.0,0.6065,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMN6r64MK,EKXMeX3Q64,2024,CB,3150,23,5,2,2.4829,0.2167,-0.4829,10,3,1.4808,1.5192,3.9637000000000002,1.1305,1.8132000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMN6wzjMK,jYQJ8EW5GR,2023,AM,7,0,0,0,0.0,0.0,0.0,1,0,0.06280000000000001,-0.06280000000000001,0.06280000000000001,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNbgpMKp,APk5LGOMOW,2013,ST,903,30,12,2,3.4147,-0.10020000000000001,-1.4147,14,1,0.9092,0.0908,4.3239,1.1425,2.8614,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNBo4MKp,a2lqRX2Mr0,2013,FB,1482,1,0,0,0.0129,-0.0129,-0.0129,13,1,1.0635,-0.0635,1.0765,0.0,0.006500000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNBo4MKp,a2lqRX2Mr0,2014,FB,2364,10,0,0,0.44220000000000004,-0.44220000000000004,-0.44220000000000004,24,3,2.533,0.467,2.9752,0.0,0.3186,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNBo4MKp,a2lqRX2Mr0,2015,FB,476,2,0,0,0.18430000000000002,-0.18430000000000002,-0.18430000000000002,0,0,0.0,0.0,0.18430000000000002,0.0,0.11370000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNBo4MKp,WBLMvYAQxe,2017,CB,2522,11,2,1,0.9853000000000001,0.1544,0.014700000000000001,4,1,0.1678,0.8322,1.1531,0.39440000000000003,0.7716000000000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNeXBpQK,NWMWlBK5lz,2022,GK,2883,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNeXBpQK,NWMWlBK5lz,2023,GK,3773,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNeXBpQK,NWMWlBK5lz,2024,GK,3391,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNGDY5Kp,4wM42l4qjB,2014,W,61,2,0,0,0.049300000000000004,-0.049300000000000004,-0.049300000000000004,1,0,0.0405,-0.0405,0.0898,0.0,0.0038,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNjAd0MK,eVq3ya6MWO,2023,W,1143,29,13,2,3.6474,-0.3005,-1.6474000000000002,9,0,0.7395,-0.7395,4.3869,0.0006000000000000001,1.687,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNjAd0MK,eVq3ya6MWO,2024,W,2164,66,31,7,7.3498,1.1632,-0.3498,28,1,3.6273,-2.6273,10.9771,1.7544,3.4918,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNjAK4MK,19vQ2095K6,2021,ST,311,5,0,0,0.8939,-0.8939,-0.8939,2,1,0.24380000000000002,0.7562,1.1377,0.0,0.8776,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNjPx4MK,kRQand1MKZ,2018,FB,559,0,0,0,0.0,0.0,0.0,2,1,0.21630000000000002,0.7837000000000001,0.21630000000000002,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNjPx4MK,kRQand1MKZ,2019,FB,103,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNjWyKMK,jYQJ8EW5GR,2023,FB,2,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNjWyKMK,jYQJ8EW5GR,2024,FB,18,2,1,0,0.2898,-0.0993,-0.2898,1,0,0.0216,-0.0216,0.3114,0.0,0.5029,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNjY14MK,X0Oq66zq6D,2018,W,1310,19,6,1,1.8833000000000002,0.4249,-0.8833000000000001,15,1,1.1176,-0.11760000000000001,3.001,0.5421,1.2986,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNjY14MK,X0Oq66zq6D,2019,FB,481,3,1,0,0.060700000000000004,-0.0351,-0.060700000000000004,3,0,0.18780000000000002,-0.18780000000000002,0.2485,0.0,0.038,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNKgv5Kp,jYQJ19EqGR,2013,ST,194,2,0,0,0.3648,-0.3648,-0.3648,2,0,0.2003,-0.2003,0.5651,0.0,0.2893,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNNDjMKp,19vQ2095K6,2014,ST,13,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNNDjMKp,Vj58weDM8n,2015,ST,72,1,0,0,0.032,-0.032,-0.032,0,0,0.0,0.0,0.032,0.0,0.0218,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNNDjMKp,Vj58weDM8n,2016,W,706,13,3,2,1.4545,-0.22110000000000002,0.5455,8,1,0.7086,0.2914,2.1631,0.7296,0.737,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNNgKMKp,pzeQZ6xQKw,2016,FB,1596,2,0,0,0.0304,-0.0304,-0.0304,10,2,0.8268000000000001,1.1732,0.8572000000000001,0.0,0.0204,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNNgKMKp,pzeQZ6xQKw,2017,FB,1522,3,0,0,0.4042,-0.4042,-0.4042,10,1,0.7448,0.25520000000000004,1.149,0.0,0.2587,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNPnpqKp,a2lqR4JMr0,2013,DM,3012,55,20,4,2.0189,2.9756,1.9811,31,4,2.7696,1.2304,4.7886,1.2509000000000001,1.0546,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
gjMNPnpqKp,a2lqR4JMr0,2014,DM,2921,53,22,3,2.2092,0.7151000000000001,0.7908000000000001,26,2,1.5989,0.4011,3.8081,0.9376000000000001,1.1212,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNPnpqKp,a2lqR4JMr0,2015,DM,2529,31,9,1,1.2445,-0.203,-0.24450000000000002,15,0,1.5575,-1.5575,2.802,0.2076,0.9809,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNPnpqKp,a2lqR4JMr0,2016,DM,2646,46,13,0,2.0895,-1.2492,-2.0895,26,1,2.1705,-1.1705,4.26,0.0,1.5067,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNPnpqKp,a2lqR4JMr0,2017,DM,2408,33,13,4,1.4424000000000001,1.488,2.5576,27,0,2.2412,-2.2412,3.6835,3.0675,0.8937,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNPnpqKp,a2lqR4JMr0,2018,DM,3175,26,5,1,0.8335,-0.15130000000000002,0.1665,24,0,1.1359,-1.1359,1.9694,0.43960000000000005,0.3729,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNPnpqKp,a2lqR4JMr0,2019,DM,2481,18,4,0,0.6595000000000001,0.00030000000000000003,-0.6595000000000001,11,3,0.5208,2.4792,1.1803,0.0,0.5313,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNPnpqKp,a2lqR4JMr0,2020,DM,461,4,1,0,0.324,-0.26280000000000003,-0.324,2,0,0.4156,-0.4156,0.7396,0.0,0.21450000000000002,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNR0vBMK,a2lqRX2Mr0,2020,FB,263,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNR790MK,YgOMngl5wN,2019,FB,388,2,1,0,0.124,-0.0883,-0.124,0,0,0.0,0.0,0.124,0.0,0.019,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNR790MK,YgOMngl5wN,2020,FB,632,3,0,0,0.24380000000000002,-0.24380000000000002,-0.24380000000000002,4,0,0.3976,-0.3976,0.6414000000000001,0.0,0.0649,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNR790MK,YgOMngl5wN,2021,FB,97,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNR8xjMK,jYQJ19EqGR,2016,GK,98,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNR8xjMK,jYQJ19EqGR,2017,GK,194,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNR8xjMK,eVq3ya6MWO,2018,GK,3370,0,0,0,0.0,0.0,0.0,1,0,0.15940000000000001,-0.15940000000000001,0.15940000000000001,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNR8xjMK,eVq3ya6MWO,2019,GK,2978,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gjMNR8xjMK,kRQand1MKZ,2020,GK,796,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
